Descricao envio,Preco,Status
Envio 2 dias PT 1kg Levantamento em Ponto,3.61000,Disabled
Envio 2 dias PT 5kg Levantamento em Ponto,3.83000,Disabled
Envio 2 dias PT 10kg Levantamento em Ponto,4.73000,Disabled
Envio 2 dias PT 15kg Levantamento em Ponto,6.28000,Disabled
Envio 2 dias PT 20kg Levantamento em Ponto,6.71000,Disabled
Envio 2 dias PT 25kg Levantamento em Ponto,8.33000,Disabled
Envio 2 dias PT 30kg Levantamento em Ponto,8.83000,Disabled
Envio Next Day PT 1kg Levantamento em Ponto,3.86000,Disabled
Envio Next Day PT 5kg Levantamento em Ponto,4.16000,Disabled
Envio Next Day PT 10kg Levantamento em Ponto,4.55000,Disabled
Envio Next Day PT 15kg Levantamento em Ponto,6.00000,Disabled
Envio Next Day PT 20kg Levantamento em Ponto,6.66000,Disabled
Envio Next Day PT 25kg Levantamento em Ponto,8.42000,Disabled
Envio Next Day PT 30kg Levantamento em Ponto,8.93000,Disabled
Envio 2 dias PT 1kg 1 Tentativa de Entrega,4.01000
Envio 2 dias PT 5kg 1 Tentativa de Entrega,4.23000,Disabled
Envio 2 dias PT 10kg 1 Tentativa de Entrega,5.13000,Disabled
Envio 2 dias PT 15kg 1 Tentativa de Entrega,6.68000,Disabled
Envio 2 dias PT 20kg 1 Tentativa de Entrega,7.10000,Disabled
Envio 2 dias PT 25kg 1 Tentativa de Entrega,8.73000,Disabled
Envio 2 dias PT 30kg 1 Tentativa de Entrega,9.23000,Disabled
Envio 2 dias PT Kg Adicional,0.24000,Disabled
Envio Next Day PT 1kg 1 Tentativa de Entrega,4.27000,Disabled
Envio Next Day PT 5kg 1 Tentativa de Entrega,4.49000,Disabled
Envio Next Day PT 10kg 1 Tentativa de Entrega,5.07000,Disabled
Envio Next Day PT 15kg 1 Tentativa de Entrega,6.45000,Disabled
Envio Next Day PT 20kg 1 Tentativa de Entrega,7.44000,Disabled
Envio Next Day PT 25kg 1 Tentativa de Entrega,8.80000,Disabled
Envio Next Day PT 30kg 1 Tentativa de Entrega,9.54000,Disabled
Envio Next Day PT 1kg 2 Tentativas de Entrega,4.39000,Disabled
Envio Next Day PT 3kg 2 Tentativas de Entrega,4.56000,Disabled
Envio Next Day PT 5kg 2 Tentativas de Entrega,4.70000,Disabled
Envio Next Day PT 10kg 2 Tentativas de Entrega,5.08000,Disabled
Envio Next Day PT 15kg 2 Tentativas de Entrega,6.54000,Disabled
Envio Next Day PT 20kg 2 Tentativas de Entrega,7.20000,Disabled
Envio Next Day PT 25kg 2 Tentativas de Entrega,8.96000,Disabled
Envio Next Day PT 30kg 2 Tentativas de Entrega,9.46000,Disabled
Envio Next Day PT Kg Adicional,0.31000,Disabled
Envio Ilhas 1kg 5-9 dias,8.91000
Envio Ilhas 5kg 5-9 dias,10.92000,Disabled
Envio Ilhas 10kg 5-9 dias,14.28000,Disabled
Envio Ilhas 15kg 5-9 dias,18.69000,Disabled
Envio Ilhas 20kg 5-9 dias,22.97000,Disabled
Envio Ilhas 25kg 5-9 dias,27.19000,Disabled
Envio Ilhas 30kg 5-9 dias,31.40000,Disabled
Envio Ilhas Kg Adicional,1.13000,Disabled
Envio Ilhas 1kg 2-5 dias,15.91000,Disabled
Envio Ilhas 5kg 2-5 dias,31.58000,Disabled
Envio Ilhas 10kg 2-5 dias,56.80000,Disabled
Envio Ilhas 15kg 2-5 dias,76.60000,Disabled
Envio Ilhas 20kg 2-5 dias,98.20000,Disabled
Envio Espanha 1kg,5.96000
Envio Espanha 5kg,7.35000,Disabled
Envio Espanha 10kg,9.03000,Disabled
Envio Espanha 15kg,13.49000,Disabled
Envio Espanha 20kg,17.24000,Disabled
Envio Espanha 25kg,20.76000,Disabled
Envio Espanha 30kg,24.19000,Disabled
Envio Espanha Kg Adicional,0.49000,Disabled
Envio Ilhas Espanholas  1kg 3-5 dias,11.78000
Envio Ilhas Espanholas  5kg 3-5 dias,22.60000,Disabled
Envio Ilhas Espanholas  10kg 3-5 dias,49.36000,Disabled
Envio Ilhas Espanholas  15kg 3-5 dias,63.28000,Disabled
Envio Ilhas Espanholas  20kg 3-5 dias,90.88000,Disabled
Envio Ilhas Espanholas  25kg 3-5 dias,118.39000,Disabled
Envio Ilhas Espanholas 30kg 3-5 dias,145.83000,Disabled
Envio Ilhas Espanholas 1kg 6-10 dias,10.96000
Envio Ilhas Espanholas 5kg 6-10 dias,13.56000,Disabled
Envio Ilhas Espanholas 10kg 6-10 dias,17.29000,Disabled
Envio Ilhas Espanholas 15kg 6-10 dias,18.99000,Disabled
Envio Ilhas Espanholas 20kg 6-10 dias,25.01000,Disabled
Envio Ilhas Espanholas 25kg 6-10 dias,27.25000,Disabled
Europa Zona 2 Economy 1kg,12.53000
Europa Zona 2 Economy 2kg,13.44000,Disabled
Europa Zona 2 Economy 3kg,15.26000,Disabled
Europa Zona 2 Economy 4kg,17.10000,Disabled
Europa Zona 2 Economy 5kg,18.92000,Disabled
Europa Zona 2 Economy 10kg,24.40000,Disabled
Europa Zona 2 Economy 15kg,33.53000,Disabled
Europa Zona 2 Economy 20kg,42.66000,Disabled
Europa Zona 2 Economy 25kg,51.81000,Disabled
